name,price,url
100% Dark Hot Chocolate Flakes,£9.95,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,£45.00,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,£45.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,£8.75,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,£8.75,/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,£9.95,/products/70-dark-hot-chocolate-flakes
Almost Perfect,£2.00,/products/almost-perfect
Assorted Chocolate Malt Balls,£9.00,/products/assorted-chocolate-malt-balls
Blonde Caramel,£5.00,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,£8.50,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,£9.00,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,£19.95,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,£9.95,/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,£17.50,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,£17.50,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,£5.00,/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,£5.00,/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,£8.95,/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,£44.00,/products/celebration-hamper
Christmas Cracker,£5.00,/products/christmas-cracker-chocolate-bar
Christmas Mystery Hamper,£40.00,/products/mystery-box
Christmas Truffle Selection,£19.95,/products/pre-order-christmas-truffle-selection
Cinnamon Toast,£5.00,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,£30.00,/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,£5.00,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,£5.00,/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,£8.95,/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,£8.50,/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,£9.00,/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,£8.95,/products/dark-chocolate-orange-peel
Ecudorian 41%,£5.00,/products/ecuadorian-41-milk-chocolate-bar
Flat White Coffee,£5.00,/products/flat-white-coffee
Gift Voucher,£10.00,/products/gift-voucher
Ginger Biscuit,£5.00,/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,£5.00,/products/honeycomb-crunch
Hot Chocolate Shaker,£25.00,/products/hot-chocolate-shaker-new
Luxury Chocolate Hamper,£68.00,/products/luxury-chocolate-hamper
Luxury Hot Chocolate Hamper,£44.00,/products/luxury-hot-chocolate-hamper
Marmalade,£5.00,/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb - Bag,£8.50,/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,£9.00,/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,£19.95,/products/milk-chocolate-truffles
Mint Creams,£19.95,/products/mint-creams
Mixed Chocolate Mini Eggs,£12.00,/products/mixed-milk-chocolate-mini-eggs
Orange Dark Hot Chocolate Flakes,£9.95,/products/orange-dark-hot-chocolate-flakes
Orange Malt Balls,£9.00,/products/orange-malt-balls
Pay Monthly: Box of the Month,£20.00,/products/pay-monthly-box-of-the-month
Peppermint Malt Balls,£9.00,/products/peppermint-malt-balls
Peppermint Swirl,£5.00,/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,£5.00,/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,£4.50,/products/praline-quail-eggs
Pretzel Caramel,£5.00,/products/pretzel-caramel-chocolate-bar
Rose & Violet Creams,£19.95,/products/rose-violet-creams
Salt Caramel Malt Balls,£9.00,/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,£8.95,/products/salt-caramelised-hazelnuts
Salted Caramel,£5.00,/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,£11.50,/products/salted-caramel-florentines
Salted Caramel Quail Eggs,£5.00,/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,£19.95,/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,£19.95,/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,£19.95,/products/salt-caramels-milk-chocolate
Tea & Biscuit,£5.00,/products/tea-biscuit-chocolate-bar
Valrhona Caraibe 66%,£75.00,/products/valrhona-caraibe-66
Valrhona Guanaja 70%,£75.00,/products/valrhona-guanaja-70
Velvet White,£5.00,/products/velvet-white-chocolate-bar
